Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.94,76.33,1.05,6.83,0,,,
23.94,75.79,0,6.83,0,,,
23.94,75.84,2.4,6.83,0,,,
23.94,75.85,4,6.83,0,,,
23.94,75.83,3.9,6.83,0,,,
23.94,75.83,4,6.83,0,,,
23.94,75.87,3.8,6.84,0,,,
23.94,77.46,3.75,6.84,0,,,
23.94,77.45,0,6.84,0,,,
23.94,77.47,4,6.84,0,,,
23.94,77.41,4,6.84,0,,,
23.94,77.44,3.75,6.84,0,,,
23.94,77.42,3.95,6.84,0,,,
23.94,77.44,3.65,6.84,0,,,
23.94,77.94,4,6.83,0,,,
23.94,79.38,3.75,6.83,0,,,
23.94,79.34,3.55,6.83,0,,,
23.94,79.37,2.1,6.83,0,,,
23.94,79.24,3.75,6.83,0,,,
23.94,80.28,3.75,6.83,0,,,
23.94,80.3,3.7,6.83,0,,,
23.94,80.96,3.7,6.83,0,,,
23.94,80.18,3.75,6.83,0,,,
23.94,79.73,3.65,6.82,0,,,
23.94,81.05,4.3,6.82,0,,,
23.94,83.06,3.95,6.82,0,,,
23.94,83.04,3.9,6.83,0,,,
23.94,83.1,4,6.82,0,,,
23.94,82.44,3.25,6.82,0,,,
23.94,82.27,3.75,6.83,0,,,
23.94,81.71,3.75,6.83,0,,,
23.94,82.37,0,6.83,0,,,
23.94,82.32,2.4,6.83,0,,,
23.94,82.32,3.7,6.83,0,,,
23.94,82.31,3.75,6.84,0,,,
23.94,82.34,3.75,6.83,0,,,
23.94,82.38,3.8,6.83,0,,,
23.94,80.81,3.9,6.84,0,,,
23.94,80.59,3.5,6.83,0,,,
23.94,81.7,3.85,6.83,0,,,
23.94,81.85,4.25,6.83,0,,,
23.94,81.83,4.1,6.83,0,,,
23.94,81.83,3.65,6.83,0,,,
23.94,81.83,3.8,6.83,0,,,
23.94,81.74,3.9,6.84,0,,,
23.94,81.74,3.3,6.84,0,,,
23.94,81.78,4,6.84,0,,,
23.94,81.79,3.85,6.84,0,,,
23.94,81.97,10.7,6.84,0,,,
23.94,81.95,10.4,6.84,0,,,
23.94,81.92,3.85,6.84,0,,,
